"institucion","departamento","provincia_ciudad","area","vacantes","direccion","horario","logo"
"Asociación Educativa Harvard S.R.L.","Junín","Huancayo","Educativa","2","Jr. Julio Sumar Nro. 441 / Jr. Huayna Cápac Nro. 240, El Tambo, Huancayo.","Lunes a viernes, 7:45 a. m. – 2:30 p. m.",""
"NeuroPsico – Psicología Clínica Integral","Cusco","Cusco","Clínica","3","Jr. Clorinda Matto de Turner Nro. 308, Urb. Magisterio, Cusco.","Lunes, miércoles y viernes: 2:00 p. m. – 8:00 p. m.; martes y jueves: 8:00 a. m. – 12:00 p. m.; sábado: 9:00 a. m. – 1:00 p. m.",""
"Centro Psicológico CRECETU S.A.C.","Lima","Lima","Clínica / Organizacional","Callao/San Martín: 5 / Rímac: 5 / Pueblo Libre: 5","Sedes en Callao, Rímac y Pueblo Libre.","Lunes a sábado: turno 1, 8:00 a. m. – 2:00 p. m.; turno 2, 2:00 p. m. – 8:00 p. m.; turno 3: domingo, 9:00 a. m. – 2:00 p. m.",""
"CEBE Manuel Duato","Lima","Lima","Educativa","1","Jr. Santa Cruz de Pachacútec 510, Villa Los Ángeles, Los Olivos.","Lunes a viernes: turno 1, 8:00 a. m. – 1:00 p. m.; turno 2, 1:00 p. m. – 6:00 p. m.; considerando un día en horario de mañana.",""
"Centro Psicológico Vida y Ser","Lima","Lima","Clínica / Educativa / Comunitaria","1 (enero) / 2 (julio)","Av. Guillermo Billingurth 1141, San Juan de Miraflores, Lima.","Lunes a viernes: turno 1, 8:00 a. m. – 2:00 p. m.; turno 2, 2:00 p. m. – 7:00 p. m.",""
"AKUNA – Centro de Desarrollo Psicológico","Arequipa","Arequipa","Clínica","4","Urbanización La Melgariana E-16, José Luis Bustamante y Rivero.","Lunes a viernes, 9:00 a. m. – 1:00 p. m. y/o 4:00 p. m. – 8:00 p. m.",""
"Centro Psicológico Psicokhuyay","Cusco","Cusco","Clínica / Educativa / Organizacional","2 varones (uno por cada horario) / 1 mujer","Av. Los Incas 810, Edificio San Antonio, Wanchaq.","Lunes a sábado: turno 1, 9:00 a. m. – 2:00 p. m.; turno 2, 2:00 p. m. – 7:00 p. m.; turno 3 (mujer), 3:00 p. m. – 8:00 p. m.",""
"Escuela de Educación Superior Pedagógica Pública Santa Rosa","Cusco","Cusco","Educativa","5 Educativa / 3 Salud ocupacional (Centro Médico Espinar)","Calle Carmen Kyjllo 265, Cusco.","Lunes a viernes, 8:00 a. m. – 2:00 p. m.",""
"CEPAB – Centro de Aprendizaje y Bienestar","Lima","Lima","Clínica / Organizacional","1","Calle Los Halcones 287, Surquillo.","Lunes a viernes, 2:00 p. m. – 7:00 p. m.; sábado, 8:00 a. m. – 1:00 p. m.",""
"POWER YOU – Consultora de Recursos Humanos","Junín","Huancayo","Organizacional","2","Av. Flor de Mayo Mza. G Lote 11, Urb. Primero de Mayo, Huancayo.","Lunes a viernes, 9:00 a. m. – 1:00 p. m. y 3:00 p. m. – 6:00 p. m.",""
"SENSES Psicólogos","Arequipa","Arequipa","Clínica / Educativa / Social - Comunitaria","8","Calle Yapurá 212, Zamácola, Cerro Colorado.","Lunes a sábado, 2:00 p. m. – 7:00 p. m.",""
"Centro Psicológico Comunitario de la UC","Junín","Huancayo","Clínica / Educativa / Organizacional","Clínica: 5 / Educativa: 5 / Organizacional: 5","Jirón Dos de Mayo 570, El Tambo.","Lunes a viernes, 1:00 p. m. – 6:00 p. m.; sábado, 8:00 a. m. – 12:30 p. m.; horarios rotativos.",""
"CAP – Centro de Atención Psicológica Arequipa","Arequipa","Arequipa","Clínica","1","Av. Los Incas s/n, Urb. Lambramani, José Luis Bustamante y Rivero.","Lunes a sábado: mañana, 8:00 a. m. – 1:00 p. m.; tarde, 1:00 p. m. – 6:00 p. m.",""
"CAP – Centro de Atención Psicológica Lima","Lima","Lima","Clínica","1","Av. Alfredo Mendiola 5988, Los Olivos.","Lunes a sábado: mañana, 8:00 a. m. – 1:00 p. m.; tarde, 1:00 p. m. – 6:00 p. m.",""
"CAP – Centro de Atención Psicológica Cusco","Cusco","Cusco","Clínica","1","Av. La Cultura 604, Cusco.","Lunes a sábado: mañana, 8:00 a. m. – 1:00 p. m.; tarde, 1:00 p. m. – 6:00 p. m.",""
"CAP – Centro de Atención Psicológica Huancayo","Junín","Huancayo","Clínica","2","Av. San Carlos 1980, Urb. San Antonio.","Lunes a sábado: mañana, 8:00 a. m. – 1:00 p. m.; tarde, 1:00 p. m. – 6:00 p. m.",""
"I.E. Sagrado Corazón de Jesús – Espinar","Cusco","Espinar","Educativa","1","Espinar, Cusco.","Lunes a viernes, 8:00 a. m. – 2:00 p. m.",""
"CORPORACION PSICOLOGICA Y SALUD INTEGRAL MUCAVA S.A.C.","Lima","San Juan de Miraflores","Clínica / Educativa","1","Jr./Calle Pedro Bertonelli 983, San Juan de Miraflores 15801, Lima.","Educativa: lunes a viernes, 7:30 a. m. – 2:45 p. m.; Clínica: lunes a sábado, 8:00 a. m. – 1:00 p. m. y 3:00 p. m. – 7:00 p. m.",""
"LÉVERIS CONSULTING","Lima","Miraflores","Organizacional","4","Calle Mártir José Olaya 129, Miraflores, Lima.","Horario por confirmar.",""
"MAKARENKO SCHOOL","Lima","San Juan de Lurigancho","Educativa","5","Calle Maquinarias 351, Urb. Industrial Flores 81, San Juan de Lurigancho, Lima.","Horario por confirmar.",""

